Graph.Name,avg_invasion_time_beta0.2_gamma0.04,avg_prop_infected_beta0.2_gamma0.04,avg_invasion_time_beta0.1_gamma0.04,avg_prop_infected_beta0.1_gamma0.04,avg_invasion_time_beta0.05_gamma0.04,avg_prop_infected_beta0.05_gamma0.04,avg_invasion_time_beta0.025_gamma0.04,avg_prop_infected_beta0.025_gamma0.04,avg_invasion_time_beta0.01_gamma0.04,avg_prop_infected_beta0.01_gamma0.04,avg_invasion_time_beta0.2_gamma0.4,avg_prop_infected_beta0.2_gamma0.4,avg_invasion_time_beta0.1_gamma0.4,avg_prop_infected_beta0.1_gamma0.4,avg_invasion_time_beta0.05_gamma0.4,avg_prop_infected_beta0.05_gamma0.4,avg_invasion_time_beta0.025_gamma0.4,avg_prop_infected_beta0.025_gamma0.4,avg_invasion_time_beta0.01_gamma0.4,avg_prop_infected_beta0.01_gamma0.4,Fiedler,Spectral_radius,Network_size,Highest_degree,highest_degree_scaled,Modularity,central,Qrel,Mean_degree,Transitivity,Diameter,Mean_pathLength
mammalia_baboon_association_group14,2.677419355,0.889400922,2.8125,0.839285714,4.931034483,0.753694581,7.148148148,0.587301587,13.92857143,0.459183673,2.466666667,0.552380952,3.25,0.357142857,4,0.357142857,3.4,0.342857143,2,0.285714286,3.381966011,4.965055531,7,7,1,0.01384083,0.312804878,0.484429066,0.80952381,0.794117647,2,1.19047619
mammalia_baboon_association_group15,2.611111111,0.912037037,3.652173913,0.862318841,5.178571429,0.767857143,11.93333333,0.6,15.30434783,0.442028986,2.764705882,0.558823529,3.307692308,0.461538462,2.833333333,0.333333333,4.25,0.458333333,6,0.333333333,2.585786438,4.119026676,6,2,0.333333333,0,0.169230769,NA,0.8,0.789473684,2,1.2
mammalia_baboon_association_group16,2.733333333,0.911111111,5.227272727,0.863636364,5.636363636,0.704545455,7.863636364,0.568181818,10.33333333,0.458333333,2.666666667,0.515873016,2.444444444,0.444444444,3.428571429,0.380952381,3.333333333,0.555555556,3,0.333333333,2.381966011,3.778457118,6,5,0.833333333,0.045454545,0.108695652,0.5,0.733333333,0.677419355,2,1.266666667
mammalia_baboon_association_group17,2.891891892,0.834834835,4.085714286,0.704761905,8.142857143,0.53968254,8.941176471,0.447712418,18.9,0.361111111,2.333333333,0.349206349,3.176470588,0.307189542,4,0.324074074,2.714285714,0.253968254,4.666666667,0.222222222,1.495443617,3.777439542,9,2,0.222222222,0.137777778,0.103174603,0.604444444,0.416666667,0.340909091,3,1.638888889
mammalia_baboon_association_group18,2.290322581,0.861290323,2.880952381,0.854761905,4.131578947,0.673684211,6.447368421,0.536842105,9.227272727,0.395454545,2.548387097,0.451612903,2.75,0.285,3.142857143,0.242857143,2.384615385,0.246153846,100,0,3.262502895,5.491689417,10,8,0.8,0.069272977,0.168333333,0.661865569,0.6,0.446280992,2,1.4
mammalia_baboon_association_group19,3.923076923,0.680473373,4.755555556,0.531623932,8.279069767,0.400715564,8.558823529,0.314479638,13.57894737,0.206477733,2.826086957,0.234113712,3.111111111,0.196581197,3.285714286,0.153846154,3,0.211538462,2.333333333,0.179487179,0.186744381,2.874422957,13,4,0.307692308,0.357421875,0.064367816,0.732421875,0.205128205,0.103448276,6,2.653846154
mammalia_baboon_association_group20,2.658536585,0.857410882,3.558139535,0.76744186,6.088888889,0.603418803,10.11764706,0.393665158,14.17857143,0.282967033,2.432432432,0.374220374,2.782608696,0.244147157,3.153846154,0.218934911,2.7,0.207692308,2.75,0.192307692,1.491087962,5.100872057,13,4,0.307692308,0.218333333,0.162878788,0.585,0.384615385,0.365853659,3,1.705128205
mammalia_baboon_association_group21,2.7,0.8625,4.523809524,0.764880952,4.935483871,0.592741935,11.57894737,0.480263158,17.625,0.3359375,2.347826087,0.472826087,2.5,0.385416667,2.625,0.34375,3.166666667,0.270833333,100,0,1.290861751,4.117106961,8,7,0.875,0.166666667,0.188172043,0.5,0.535714286,0.5625,3,1.535714286
mammalia_baboon_association_group22,4.451612903,0.77016129,6.909090909,0.670454545,10.34615385,0.495192308,9.411764706,0.389705882,13.5,0.3125,2.666666667,0.358333333,3,0.375,2,0.375,3,0.25,4,0.25,0.585786438,2.923909335,8,7,0.875,0.203703704,0.170940171,0.648148148,0.321428571,0.315789474,4,1.964285714
mammalia_baboon_association_group23,2.965517241,0.697044335,5.454545455,0.54040404,7.338709677,0.364823349,10.34090909,0.227272727,17.81481481,0.158730159,2.863636364,0.186147186,2.851851852,0.151675485,2.625,0.136904762,3,0.113553114,2.75,0.107142857,0.418881221,3.684869586,21,6,0.285714286,0.390555556,0.327260459,0.757222222,0.142857143,0.148148148,5,2.652380952
mammalia_baboon_association_group24,4.3125,0.890625,7,0.692307692,12.76923077,0.75,13.22222222,0.611111111,28.5,0.666666667,3.428571429,0.535714286,2.666666667,0.5,5,0.5,100,0,100,0,0.585786438,1.618033989,4,1,0.25,0.166666667,0.229885057,0.5,0.5,0,3,1.666666667
mammalia_baboon_association_group25,4.394736842,0.605263158,6.324324324,0.421621622,8.777777778,0.340740741,11.64285714,0.314285714,18.36363636,0.281818182,2.5,0.2375,3.266666667,0.253333333,2,0.2,100,0,3,0.2,0.148665377,2.135779205,10,7,0.7,0.438271605,0.248275862,0.660493827,0.2,0,6,2.911111111
mammalia_baboon_association_group26,5.148148148,0.708994709,6.714285714,0.5,7.631578947,0.428571429,12.25,0.404761905,14.66666667,0.301587302,3.181818182,0.350649351,2.5,0.30952381,2.333333333,0.285714286,2,0.285714286,3,0.285714286,0.2253771,1.931851653,7,5,0.714285714,0.319444444,0.320512821,0.652777778,0.285714286,0,5,2.476190476
mammalia_baboon_association_group27,3.072727273,0.755151515,3.978723404,0.597163121,6.102564103,0.45982906,12.10526316,0.361403509,15.72,0.221333333,2.75,0.28,2.444444444,0.207407407,3.2,0.2,2.833333333,0.166666667,3.666666667,0.133333333,0.50960765,4.313426617,15,11,0.733333333,0.272928994,0.275862069,0.734467456,0.247619048,0.211764706,5,2.285714286
mammalia_baboon_association_group28,3.037735849,0.691037736,3.48,0.5975,8.906976744,0.332848837,11.75,0.253125,16.6,0.183928571,2.735294118,0.227941176,2.764705882,0.1875,3.125,0.171875,2.666666667,0.166666667,2,0.15625,0.280671775,3.33690162,16,14,0.875,0.363945578,0.171957672,0.744897959,0.175,0.136363636,6,2.816666667
mammalia_baboon_association_group29,3.16,0.763076923,5.103448276,0.551724138,6.928571429,0.428571429,9.21875,0.336538462,15.31578947,0.194331984,2.875,0.240384615,3,0.294871795,3.75,0.192307692,2.666666667,0.179487179,4.5,0.153846154,0.515485952,3.350043121,13,3,0.230769231,0.372576177,0.25,0.635734072,0.243589744,0.225,4,2.41025641
mammalia_baboon_grooming_group01,4.6,0.9,6.823529412,0.808823529,7.1875,0.734375,9,0.65,14,0.555555556,2.3,0.55,2.8,0.5,2,0.625,100,0,100,0,2,2,4,1,0.25,0,0.234482759,NA,0.666666667,0,2,1.333333333
mammalia_baboon_grooming_group02,3.291666667,0.875,4.826086957,0.8,6.111111111,0.688888889,10.27272727,0.563636364,17.125,0.55,3.6,0.52,3.909090909,0.454545455,4,0.4,3,0.4,100,0,1,2.685543933,5,3,0.6,0,0.218390805,NA,0.6,0.545454545,2,1.4
mammalia_baboon_grooming_group03,3.301587302,0.676328502,5.342857143,0.536645963,5.218181818,0.392094862,8.361702128,0.239592969,6.714285714,0.144927536,2.846153846,0.189520624,3.214285714,0.136645963,3.25,0.123188406,4.5,0.086956522,2.4,0.113043478,0.178408859,4.111547119,23,19,0.826086957,0.457959184,0.250574713,0.772244898,0.138339921,0.230769231,7,2.833992095
mammalia_baboon_grooming_group04,4.083333333,0.875,8.230769231,0.826923077,7.933333333,0.766666667,12.14285714,0.785714286,10.09090909,0.568181818,2.3,0.575,3,0.5,3,0.5,2,0.5,6,0.5,1,2.170086487,4,4,1,0,0.349425287,NA,0.666666667,0.6,2,1.333333333
mammalia_baboon_grooming_group05,3.142857143,0.904761905,6.230769231,0.884615385,6,0.75,5.8,0.7,15.42857143,0.607142857,2.8,0.65,2.8,0.6,3.666666667,0.5,100,0,2,0.5,2,2.561552813,4,1,0.25,0,0.235221675,NA,0.833333333,0.75,2,1.166666667
mammalia_baboon_grooming_group06,2.967741935,0.861751152,3.611111111,0.785714286,7.85,0.607142857,6.714285714,0.540816327,14.30769231,0.384615385,2.782608696,0.49068323,2.692307692,0.428571429,2.333333333,0.380952381,2.25,0.285714286,3.5,0.285714286,1.259473604,3.444935337,7,6,0.857142857,0.132231405,0.298850575,0.495867769,0.523809524,0.535714286,3,1.523809524
mammalia_baboon_grooming_group07,2.545454545,0.872727273,3.037037037,0.771990741,5.4,0.647727273,8.045454545,0.444602273,11.83870968,0.258064516,2.441860465,0.379360465,2.84375,0.296875,2.583333333,0.21875,2.6,0.14375,4.2,0.15,1.613122461,5.617134476,16,11,0.6875,0.201368233,0.147368421,0.664782867,0.341666667,0.265625,3,1.725
