,Network,avg_invasion_time_beta0.1,avg_invasion_time_beta0.05,avg_prop_infected_beta0.1,avg_prop_infected_beta0.05,no_invasion_beta0.1,no_invasion_beta0.05,Fiedler,Adj_val,Rnot,network_size,most_infected_node,Modularity,Mean_degree,Centrality,transitivity.gcc_s..type....global..,Diameter
469,mammalia_raccoon_proximity_52,2.931034483,5.328571429,0.215517241,0.526785714,71,30,0.616517316,5.217944604,0.191646343,16,12,0.300292969,0.266666667,5.217944604,0.463235294,4
470,mammalia_raccoon_proximity_6,3.380952381,3.552941176,0.256493506,0.665240642,58,15,1.303255415,7.846267596,0.127449133,22,4,0.314577778,0.324675325,7.846267596,0.51744186,4
471,mammalia_raccoon_proximity_7,2.98245614,3.085365854,0.263955343,0.6845898,43,18,1.896795545,8.631760075,0.115851227,22,6,0.218396788,0.354978355,8.631760075,0.498387097,3
472,mammalia_raccoon_proximity_8,3.166666667,3.93258427,0.222222222,0.589376915,64,11,0.779215027,6.746934808,0.148215453,22,15,0.350577802,0.264069264,6.746934808,0.472303207,4
473,mammalia_raccoon_proximity_9,2.688888889,4.159090909,0.247619048,0.573051948,55,12,0.742447019,7.670664951,0.130366794,21,16,0.262361111,0.285714286,7.670664951,0.547619048,4
474,mammalia_raccoon_proximity,2.197183099,2.292134831,0.53286385,0.85159176,29,11,6.756458993,19.65819196,0.050869378,24,1,0.037591041,0.81884058,19.65819196,0.888363292,2
475,mammalia_sheep_dominance,2.194805195,2.21978022,0.467532468,0.802197802,23,9,3.816172124,18.26325301,0.054754758,28,14,0.06016297,0.621693122,18.26325301,0.727788746,3
476,mammalia_spidermonkeys_contact,3.022727273,4.08,0.352941176,0.727843137,56,25,1.785377762,9.952334299,0.10047894,17,10,0.074795918,0.514705882,9.952334299,0.7171875,3
477,mammalia_vampire_bats_foodsharing,2.604651163,4.615384615,0.292358804,0.614163614,57,22,0.836495754,9.734664377,0.102725678,21,9,0.139949846,0.342857143,9.734664377,0.658423493,3
478,mammalia_voles_bhp_trapping_02,3,5.684210526,0.171745152,0.351800554,81,24,0.100924243,4.117892387,0.242842674,19,3,0.545280612,0.16374269,4.117892387,0.549295775,8
479,mammalia_voles_bhp_trapping_03,2.5,6.666666667,0.4,0.654320988,90,73,0.485863071,3.096507214,0.322944508,6,1,0.1796875,0.533333333,3.096507214,0.75,3
480,mammalia_voles_bhp_trapping_04,3.625,7.941176471,0.196428571,0.366596639,84,32,0.102528159,3.180203287,0.314445307,14,12,0.433641975,0.197802198,3.180203287,0.324324324,7
